http://localhost:5000/predict?q=<script>alert(1)</script>,1
http://localhost:5000/?q=<script>alert(1)</script>,1
http://localhost:5000/predict?q=<script>alert(1)</script>,1
http://localhost:5000/predict?q=<script>alert(1)</script>,1
http://localhost:5000/?name=John~,1
http://localhost:5000/http://localhost:5000/?id=1'%20OR%201=1--"1=1--,1
http://localhost:5000/?id=1'%20OR%201=1--,1
http://localhost:5000/?id=1'%20OR%201=1--,1
http://localhost:5000/?id=1'%20OR%201=1--,1
http://localhost:5000/?q=<script>alert(1)</script>,1
http://localhost:5000/?id=1'%20OR%201=1--,1
http://localhost:5000/?q=<script>alert(1)</script>,1
http://localhost:5000/?id=1'%20OR%201=1--,1
http://localhost:5000/?id=1'%20OR%201=1--,1
http://localhost:5000/predict?q=<script>alert(1)</script>,1
timestamp,ip,url,action,reason
timestamp,ip,url,action,reason
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test%20AND%205992%3D(SELECT%20UPPER(XMLType(CHR(60)||CHR(58)||CHR(113)||CHR(113)||CHR(106)||CHR(120)||CHR(113)||(SELECT%20(CASE%20WHEN%20(5992%3D5992)%20THEN%201%20ELSE%200%20END)%20FROM%20DUAL)||CHR(113)||CHR(113)||CHR(98)||CHR(107)||CHR(113)||CHR(62)))%20FROM%20DUAL),BLOCKED,UBA anomaly detection
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test%20AND%205992%3D(SELECT%20UPPER(XMLType(CHR(60)||CHR(58)||CHR(113)||CHR(113)||CHR(106)||CHR(120)||CHR(113)||(SELECT%20(CASE%20WHEN%20(5992%3D5992)%20THEN%201%20ELSE%200%20END)%20FROM%20DUAL)||CHR(113)||CHR(113)||CHR(98)||CHR(107)||CHR(113)||CHR(62)))%20FROM%20DUAL)--%20NpkU,BLOCKED,UBA anomaly detection
2025-07-12 17:36:46,127.0.0.1,"http://localhost:5000/search?q=(SELECT%20CONCAT(CONCAT('qqjxq',(CASE%20WHEN%20(5775%3D5775)%20THEN%20'1'%20ELSE%20'0'%20END)),'qqbkq'))",BLOCKED,UBA anomaly detection
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test');SELECT%20PG_SLEEP(5)--,BLOCKED,UBA anomaly detection
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test';SELECT%20PG_SLEEP(5)--,BLOCKED,UBA anomaly detection
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test);SELECT%20PG_SLEEP(5)--,BLOCKED,UBA anomaly detection
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test;SELECT%20PG_SLEEP(5)--,BLOCKED,UBA anomaly detection
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test');WAITFOR%20DELAY%20'0:0:5'--,BLOCKED,UBA anomaly detection
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test';WAITFOR%20DELAY%20'0:0:5'--,BLOCKED,UBA anomaly detection
2025-07-12 17:36:47,127.0.0.1,http://localhost:5000/search?q=test);WAITFOR%20DELAY%20'0:0:5'--,BLOCKED,UBA anomaly detection
2025-07-12 17:36:47,127.0.0.1,http://localhost:5000/search?q=test;WAITFOR%20DELAY%20'0:0:5'--,BLOCKED,UBA anomaly detection
2025-07-12 17:36:47,127.0.0.1,"http://localhost:5000/search?q=test');SELECT%20DBMS_PIPE.RECEIVE_MESSAGE(CHR(101)||CHR(65)||CHR(105)||CHR(109),5)%20FROM%20DUAL--",BLOCKED,UBA anomaly detection
2025-07-12 17:36:47,127.0.0.1,"http://localhost:5000/search?q=test';SELECT%20DBMS_PIPE.RECEIVE_MESSAGE(CHR(101)||CHR(65)||CHR(105)||CHR(109),5)%20FROM%20DUAL--",BLOCKED,UBA anomaly detection
